year,period,state,state_ansi,ag_district,ag_district_code,county,county_ansi,value,cv
2012,END OF DEC,ALABAMA,1,BLACK BELT,40,AUTAUGA,1,119,27.7
2012,END OF DEC,ALABAMA,1,BLACK BELT,40,DALLAS,47,65,27.7
2012,END OF DEC,ALABAMA,1,BLACK BELT,40,ELMORE,51,190,27.7
2012,END OF DEC,ALABAMA,1,BLACK BELT,40,GREENE,63,14,27.7
2012,END OF DEC,ALABAMA,1,BLACK BELT,40,HALE,65,10,27.7
2012,END OF DEC,ALABAMA,1,BLACK BELT,40,LOWNDES,85,0,0
2012,END OF DEC,ALABAMA,1,BLACK BELT,40,MACON,87,22,27.7
2012,END OF DEC,ALABAMA,1,BLACK BELT,40,MARENGO,91,0,0
2012,END OF DEC,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101,0,0
2012,END OF DEC,ALABAMA,1,BLACK BELT,40,PERRY,105,0,0
2012,END OF DEC,ALABAMA,1,BLACK BELT,40,SUMTER,119,46,27.7
2012,END OF DEC,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BALDWIN,3,256,27.7
2012,END OF DEC,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BUTLER,13,147,27.7
2012,END OF DEC,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CHOCTAW,23,63,27.7
2012,END OF DEC,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CLARKE,25,45,27.7
2012,END OF DEC,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CONECUH,35,10,27.7
2012,END OF DEC,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,ESCAMBIA,53,77,27.7
2012,END OF DEC,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MOBILE,97,721,27.7
2012,END OF DEC,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MONROE,99,90,27.7
2012,END OF DEC,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WASHINGTON,129,0,0
2012,END OF DEC,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,470,27.7
2012,END OF DEC,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15,207,27.7
2012,END OF DEC,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CHEROKEE,19,70,27.7
2012,END OF DEC,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CLEBURNE,29,128,27.7
2012,END OF DEC,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,219,27.7
2012,END OF DEC,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,DE KALB,49,379,27.7
2012,END OF DEC,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,ETOWAH,55,469,27.7
2012,END OF DEC,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,JACKSON,71,568,27.7
